book_id,title,category,user,borrowed_at,returned_at
B1014,我的職業是電影,散文,高雅芳,2025-08-02,2025-08-30
B1048,義大利這玩藝,旅遊,倪心妤,2025-08-02,2025-08-16
B1025,海洋與文明,歷史,張家瑋,2025-08-02,
B1031,你的善良必須有點鋒芒,哲學,潘建志,2025-08-02,2025-08-05
B1020,宇宙的故事,科普,馬奕辰,2025-08-03,2025-08-10
B1038,原子習慣,商業,盧美玲,2025-08-04,2025-08-16
B1001,82年生的金智英,小說,蔡欣怡,2025-08-06,2025-08-16
B1000,百年孤寂,小說,嚴俊宇,2025-08-07,2025-08-17
B1023,人類大歷史,歷史,邱建宏,2025-08-07,2025-08-23
B1034,演算法圖鑑,程式設計,賴麗華,2025-08-07,2025-08-19
B1049,西藏自助行,旅遊,倪心妤,2025-08-08,2025-08-18
B1012,雜貨店老闆的人生諮詢,散文,張家瑋,2025-08-08,2025-08-15
B1021,基因：人類最親密的歷史,科普,夏宛庭,2025-08-08,2025-08-18
B1001,82年生的金智英,小說,黃淑芬,2025-08-08,
B1019,時間的形狀,科普,倪心妤,2025-08-08,2025-08-22
B1044,情緒勒索,心理,畢柏翔,2025-08-09,2025-08-23
B1000,百年孤寂,小說,嚴俊宇,2025-08-11,2025-08-14
B1016,夜的命名術,詩集,戴佳穎,2025-08-11,
B1009,蛤蟆先生去看心理師,小說,謝佩珊,2025-08-13,2025-08-27
B1009,蛤蟆先生去看心理師,小說,夏宛庭,2025-08-14,2025-09-23
B1048,義大利這玩藝,旅遊,許志明,2025-08-15,2025-08-31
B1031,你的善良必須有點鋒芒,哲學,張家瑋,2025-08-15,2025-08-29
B1018,人類大命運,科普,葛子安,2025-08-16,2025-08-23
B1043,心流,心理,馬奕辰,2025-08-17,
B1038,原子習慣,商業,傅嘉玲,2025-08-19,2025-08-31
B1012,雜貨店老闆的人生諮詢,散文,高雅芳,2025-08-19,2025-08-26
B1014,我的職業是電影,散文,張家瑋,2025-08-20,2025-09-03
B1027,翻轉地中海,歷史,許志明,2025-08-22,2025-09-03
B1049,西藏自助行,旅遊,周淑慧,2025-08-23,2025-09-04
B1015,你的姿勢與我的,詩集,賴麗華,2025-08-23,2025-09-12
B1037,從0到1,商業,卓士豪,2025-08-24,2025-09-05
B1027,翻轉地中海,歷史,盧美玲,2025-08-26,2025-10-05
B1000,百年孤寂,小說,馬奕辰,2025-08-27,
B1026,絲綢之路,歷史,高雅芳,2025-08-27,2025-10-06
B1010,山茶花文具店,散文,高雅芳,2025-08-28,2025-09-13
B1019,時間的形狀,科普,夏宛庭,2025-08-28,2025-09-25
B1012,雜貨店老闆的人生諮詢,散文,白勝文,2025-08-28,
B1028,蘇菲的世界,哲學,嚴俊宇,2025-08-29,2025-09-10
B1038,原子習慣,商業,畢柏翔,2025-08-29,2025-09-12
B1014,我的職業是電影,散文,夏宛庭,2025-08-30,2025-09-15
B1033,深入淺出設計模式,程式設計,劉柏翰,2025-08-31,
B1016,夜的命名術,詩集,潘建志,2025-08-31,2025-09-14
B1041,槓桿啟動,商業,倪心妤,2025-09-01,2025-09-21
B1032,Clean Code,程式設計,畢柏翔,2025-09-01,2025-09-15
B1030,正義：一場思辨之旅,哲學,高雅芳,2025-09-03,2025-09-19
B1000,百年孤寂,小說,彭嘉怡,2025-09-04,2025-09-11
B1033,深入淺出設計模式,程式設計,畢柏翔,2025-09-05,2025-09-17
B1041,槓桿啟動,商業,嚴俊宇,2025-09-05,2025-09-21
B1006,克拉拉與太陽,小說,謝佩珊,2025-09-07,2025-09-14
B1050,走過愛琴海,旅遊,葛子安,2025-09-07,2025-09-17
B1021,基因：人類最親密的歷史,科普,范文軒,2025-09-08,2025-09-22
